,Komentar
540,"

Udah pak Presiden hilangkan semua subsidi BBM dan LPG juga Listrik dr pd hanya menjadi alasan kerugian BUMN tersebut, kita tidak pernah utang BBM, LPG juga Lintrik tapi selalu saja BUMN tersebut merugi dg alasan adanya Subsidi.
"
541,"

Wah wah wah benar-benar hebat ni pemerintah , ayo naikkin lebih besar lagi supaya hebatnya kelihatan
"
542,"

Wonderful Indonesia Dengan Kearifan Lokal Yang Tiada Tara 
"
543,"

Terima kasih !! kita punya peran masing2.. pertanggungjawaban peran masing2 pula.
"
544,"

Kalo gitu naikkan gaji buruh pegawai karyawan baik sektor informal maupun formal agar tidak mengurangi daya beli masyarakat
"
545,"

Akhirnya Naik juga, ini Belum Seberapa di Bandingkan Harga BBM di Papau sebelum Era Jokowi.... 
Harga BBM di Kisaran 50rb - 100rb.
Mereka Legowo dan tdk Pernah Ribut.
"
546,"

Saya di Kab. Sabu Raijua, tidak berkeberatan atas kenaikan BBM subsidi, tapi harus tetap tersedia utk masyarakat. Di Kabupaten Sabu Raijua, kelangkaan BBM bersubsidi sering terjadi, sehingga sulit diperoleh, terutama utk petani dan nelayan. Mohon Pak Presiden memperhatikan kami. Terimakasih.
"
547,"

Emang di daerah orang ga masalah naik, cuma masalahnya langka. Kalo orang kota ribet.
"
548,"

Jangankan di rajua di Jawa Barat sendiri langka pertalite, saya sering beli pertalite, saya ubek2 spbu buat motor aja habis jam 2 jam 3.
"
549,"

Kalau perlu naik sepeda ontel saja biar irit dan jantungnya sehat. Amin. Kalauperlu jalan kaki saja, soalnya cuma jarak seratus meter saja naik sepeda motor.
"
550,"

 @Sri Mulyani  sok tau lu emang rakyat miskin gak punya motor, semiskin miskinnya punya motor.
"
551,"

Seperti di Eropa orang suka jalan kaki ternyata malah sehat, usia 80 th masih naik gunung. Tu.
"
552,"

Saya di oku selatab sudah biasa beli pertalite 11-12k untuk dagang keliling yg penting minyak nya ada
"
553,"

terimakasih atas kenaikan bbm yg melambung, semakin menyengsarakan utk rakyat banyak.....
"
554,"

Yg penting kepala desanya di jaga insyaallah aman dr korupsi nya.... Smg pak jokowi menjaga kepala desa yg korupsi lgsg di hukum...
"
555,"

Ya harus di jg yg berkepala dan yg tidak berkepala juga
"
556,"

Berbahagialah 
"
557,"

Hahaha akhirnya naik juga,,,
   Bukan soal beli pertalite atau solar bagi yang punya kendaraan, tapi bahan pokok pangan juga otomatis langsung naik, sementara harga gabah dari petani belum tentu ikut naik,, ini sangat top markotop,
"
558,"

Harga pupuk pasti naik...
"
559,"

gaji dpr sama uang pensiun juga pasti akan naik
"
560,"

 @Helmi Dudung  uang pensiun di batesin smp 5 tahun saja kalo sdh 5 tahun jgn di kasih
"
561,"

Setuju
"
562,"

Harga TBS sawit jadi murah bgt di Indonesia cuman Rp 1200 sedangkan Malaysia bila dirupiahkan Rp 5000, karna kecerdasan pak kokowi pernah stop eksport CPO dalam waktu yg cukup lama.
"
563,"

Semogah negri ini tambah makmur huahahahahaha.......
"
564,"

Matanp bro, pedagang juga kena imbas harga harga meroket, pasti daya beli menurun.
"
565,"

 @Dody Saputra  daya beli udah menurun sebelum covid, toko2 pinggir jalan bnyk tutup dan disewakan, TPI pembelinya belum ada
"
566,"

yuh demo yuh
"
567,"

Wonderful Indonesia Dengan Kearifan Lokal Yang Tiada Tara 
"
568,"

 @ditya pratama  bener tapi bbm naik tambah sekarat para pedagang, yang dapat bansos juga aslinya kena pr**nk, percuma dong dapat bansos ga seberapa, sedang kebutuhan hidup sehari hari mahal penghasilan ga naik.
"
569,"

 @Dody Saputra  ya bg
"
570,"

Kami rindu tangisan bu megawati, puan maharani beserta kader² PDIp disaat harga bbm naik di saat jadi oposisi pemerintah 
"
571,"

Ini adalah Kado terindah setelah HUT RI yg ke 77 
"
572,"

Ga perlu penjelasan pak kami sudah tau 2024 sudah dekat
"
573,"

Pak menurut saya bbm subsidi tetap dipertahankan dgn cara program2 sosial sebagian dipangkas dan yg tdk perlu dihapus saran saya bpk fokus subsidi bbm dan pupuk karna ke 2 itu dampaknya cukup dirasakan selain menekan inflasi dampaknya luas hasilnya sesuai sila ke5 bravo pakde semoga saran saya bermaanfaat seluruh rakyat kita
"
574,"

Koruptor harus d hukum mati... Kalau koruptor tdak d hukum mati, Imbasnya ke rakyat kecil. Rakyat kecil makin sengsara gara2 koruptor yg tdak di adili dengan tegas..
"
575,"

Klo koruptor di hukum mati lalu siapa yg menjalan kan pemerintahan
"
576,"

Koruptor dbelai sm pnjajah krn pro pnjajah
"
577,"

Terimakasih kasih, kami yg golongan ke bawah semakin susah. Harga karet turun, semua barang naik
"
578,"

Semoga Allah segerakan adzab di dunia untuk para pemerintah yg dzalim.. 
آمِيْن.. يَا رَبَّ الْعَالَمِيْنَ 
امين يامجيب السا ئلين
"
579,"

BBM naik imbasnya :
1. Harga transportasi naik, baik roda dua dan empat.
2. Transportasi barang antar daerah dan provinsi pakai transportasi baik darat, laut dan udara yg semuanya memakai bahan bakar minyak (BBM) otomatis harga pengiriman barang naik dan akan berimbas di harga penjualannya pasti akan ada kenaikan harga barang. Siap2 lah semua semua serba naik . Mau bahan pokok, pakaian, bahan bangunan pasti semua pada naik. Kecuali ada yg bisa main sulap barang dari pulau Jawa sekejap mata bisa tiba di Sulawesi, atau Papua, dan kalimatan.
"
580,"

Terima kasih pak atas kinerjamu !
"
581,"

Alhamdulilah....bner"" bijak negara ini trimakasih buat para pemerintah yg bijak sana ini kami susah semakin susah gk kpikirankh trhadap rakyat melata seperti kmi ini hari semakin hari salu membebani hidup kmi yg gk prnah tau bisa makan atau tidak nya esok hari nya.
"
582,"

Muda2han pak jokowi sehat selalu amin
"
583,"

""kebijakan subsidi BBM""
Kebijakan itu saling menguntungkan dengan masyarakat..dengan di naikannya BBM rakyat makin menjerit ...makin banyak nih yang korupsi "" pulih lebih cepat,bangkit lebih cepat untuk golongan tertentu"" bagi kami bukan pulin makin babak-belur
"
584,"

Tuku sepeda iso tuku bensin HK ISO..guwak en montormu
"
585,"

Membunuh rakyatnya secara perlahan ..itu yg tepat
"
586,"

 @Akifa Dinara Putri  betul
"
587,"

Leih bijak kalsu bukan BBM yg dihapus/ dikurangi. Lbh baik koreksi BLT dan PKH yg salah alamat dan salah kebijakan. Di desaku yg dapat semua itu sdalah org yg tdk tergolong membutuhkan. Judtru dipergunakam mencicil motor. Bukan bust msksn stau keperluan sekolah snaknya. Kalau sdh bubrah begini siapa yg dipersalahkan boss? Mau menyalahkan pembuat data yg penuh dg KKN, hanya para kroni nya yg masuk. Yg betul2 kere gigit jari? Inikah tujuan negara? Ug kere cepatlah mati biar angka kemiskinan turun? Yg sdh mapan makin sejahtera? Tolong data kembali dg cara yg lbh bagus dan bust kriteria kemiskinan dg dtandart penghasilan minimal keluarga
"
588,"

Horeee Pemerintah Berhasil Mensengsarakaan RAKYAT.. Pemerintah Kejam Subsidi dikurangi tapi pajak tetap dipungut tinggi... Tidak FAIR.. padahal subsidi dari uang rakyat juga BBM naik harga haik yang nanggung RAKYAT juga.. Lalu apa Gunanya PEMERINTAH yang Bertugas Mensejahterakan dan Memakmurkan Rakyat sesuai Perintah UUD 45....?????

Indonesia MERDEKA.. tapi Booong....
"
589,"

Otomatis... naik semua harga kebutuhan , obatnya cuma sabar & terus berusaha
"
590,"

Terima kasih pak presiden
Atas kenaikan bbm
Janji mu sungguh tepat sasaran wkwkwk
"
591,"

Kenaikan bbm harusnya di barengi dengan pengamanan:adalah dibarengi dengan trbitnya undang""hukuman mati untuk pelaku para koruptor ,baru nmanya kebijakan yng baik
"
592,"

TERIMA KASIH PAK,ATAS KINERJANYA YANG MENYENGSARAKAN RAKYAT KECIL SECARA PERLAHAN!!!
"
593,"

Adzab pasti akan diterimanya.. Percayalah... Tuhan tidak tidur atas kesewenang wenangan ini
"
594,"

Rakyat kecil dapet bansos makanya diperhatikan vidionya, dripada subsidi dipakai orang2 pakai mobil ga tepat sasaran. Setidaknya dripada anggaran subsidi negara cuma2 buat dipake orang kaya kan?
"
595,"

 @Ruq Qoya  apakah yang mendapat bansos sudah tepat sasaran saat ini??
"
596,"

Wonderful Indonesia Dengan Kearifan Lokal Yang Tiada Tara 
"
597,"

 @Ismail Ramadhoni  gak mungkin bisa jawab dia.wong bansos 600 ribu per 1 bulan itu gak sebanding dengan kenaikan harga2 bahan pokok
"
598,"

 @Ruq Qoya  diperhatikan sekeliling anda apa bansos sudah tepat sasaran?
"
599,"

Emangnya loe orang kecil orang kecil tuh balita
"
600,"

 @Ruq Qoya  baru merhatiin politik wakanda mba? Dulu ada yg demo BBM sampe nangis2 loh
"
601,"

Ah sy rakyat kecil tapi biasa aja,,,dari pada BBM  subsidi di pakai orang mampu ,,
"
602,"

Mana puan ..mana diyah pitaloka..kok ora mewek..mana batang hidungnya tak tampak
"
603,"

jangan menyindir, mau negara bangkrut
"
604,"

 @Nazril Alfarizi  Yudalahalah ikils 
Semua pak Polisi
"
605,"


"
606,"

 @Ridho Ramadhan  bos bulan ini deflasi ngerti engga artinya ?
"
607,"

 @Nazril Alfarizi  biasa aja??lu tau kgak ntar dampak kenaikan BBM ini??semua bahan pokok pasti mengikuti,pernah gak anda berfikir sampe sana??
"
608,"

 @Ridho Ramadhan  ada baiknya subsidi2an di cabut semua. Biar pemerintah gada alasan muter2 anggaran. Harga sembako boleh di samain dgn negara maju. Pajak2 juga silahkan perketat. Asal penghasilan RAKYAT / umr di sama in dwngan negara maju.

Katanya mau sejahtera rakyat dan negara nya
"
609,"

 @Abbang ajjah  hahaa..mimpi bang!!mafia nya mana mau negara ini maju
"
610,"

Wakanda
"
611,"

 @Nazril Alfarizi  ya iyalah lu beban keluarga.mana ngerti
"
612,"

 @Ismail Ramadhoni  g usah banyak bicara .. coba kamu di posisi sulit saat ini .. apa yg akan kamu lakukan
"
613,"

SY SETUJU DINAIKAN MENJADI 100.000 RP BIAR JLN SEPI GAK ADA POLUSI.
"
614,"

alhamdulillah aku sih masih mampu beli, ga ngrasa keberatan. yg keberatan hati"" nnt yme menambahkan bebannya
"
615,"

Searus nya jangan ada yg komplen pengen cari sensasi  ajah...kaya anwar abas
"
616,"

Kan memang sedang terjadi inflasi.
"
617,"

Karna di Indonesia msh bnyak orang yang munafik kurang sadardiri yg seharusnya mampu beli Pertamax belinya pertalite,yg seharusnya mampu membeli gas biru pakeknya gas hijau,
"
618,"

 @Mas Rikun  masa sulit gmna maksudnya boss??kalo masa sulit pemerintah,pejabat,pns dan institusi2 negara pasti di turunkan juga gajinya,agar negara ini lebih baik..bukannya rakyat doang yg kena dampak masa sulit yang anda maksud!!!
"
619,"

 @Ismail Ramadhoni  dari pada duit buat di bakar...lebih arif di kasih orang miskin...
Dari pada makanan di buangan  lebih baik di kasih orang yg membutukan...
"
620,"

Bersyukur atas nikmat yang masih Engkau berikan ya Allah,sebb bukan di indonesia saja yg naik,di negara luarpun jga naik lebih susah dari negara indonesia
"
621,"

 @Ismail Ramadhoni  ini penting
"
622,"

 @Ruq Qoya  emangnya orang kecil bahagia harga barang kebutuhannya bakal naik gila2an... Cuma cebi yg bisa pura2 bahagia...
"
623,"

Puan...nangis dong,pengen lihat nangisnya lagi
"
624,"

 @Arif Kentung07  yaudah sekarang jangan munafik,saya tanya apakah bansos di tempat anda sudah tepat sasaran??
"
625,"

 @Bren Laksono  penting untuk??
"
626,"

 @Ismail Ramadhoni  tau bang,, tapi kalau BBM  subsidi banyak di pakai mobil mobil mewah,, pengusaha pengusaha kaya,,apa ga nyesek jg..BBM mending di alokasikan lsg ke rakyat miskin,,tinggal RT,RW aja becus ga mereka data warganya yg berhak atau ga berhak dpt ..
"
627,"

 @Bren Laksono  ah, ceby mah paling pinter pura2 bahagia.. padahal pas ngisi bensin hatinya meringis... Wkwkkk...
"
628,"

 @anto enjoy  yang salah pasti rakyat yah... Yg penting bikin kereta cepat dan IKN lanjut terus... Proyek memperkaya oligarki jalan terus, rakyat mah biarin mampus.. mumpung masih ada waktu 2 taun..  hahaha...
"
629,"

 @fariz  ,,hehe anak sy 2 bang tapi santai ajalah ,,yg penting kita sehat dan mampu bekerja..
BBM subsidi kan di alokasikan ke rakyat miskin,,nah di sini kadang pejabat pejabat bawah yg jahat memainkan dana subsidi ,,,jgn semua di salahkan ke presiden ,
"
630,"

Sya Kga per Caya ajab nyatanya koropsi garong 2, Mala terang terangang,
"
631,"

 @Ismail Ramadhoni  jadi orang jangan munapik g bisa seratus persen ke bagian semua....
Di tempat gua ajah ada orang kasih sembako untuk orang yg butuh ada ajah yg ke lewat pedahal 1 rw.bila satu negara....coba pikir
"
632,"

 @Nazril Alfarizi  kan keputusan nya ada di presiden oon
"
633,"

GARA GARA MOBIL PRIBADI PAKE bbm subsidi JADI HABIS KARENA MOBIL ISI BENSIN 30 LITER, kalo motor isi bensin hanya 2 liter doang.
HARGA MOBIL PRIBADI RATUSAN JUTA RUPIAH.

PMERINTAH UDA TAU bbm subsidi YG PAKE ORANG KAYA,KENAPA GAK MELARANG MOBIL PRIBADI PAKE bbm subsidi/pertalite,?.?
"
634,"

 @Arif Kentung07  kalo begitu keadaannya,seharusnya bukan menaikkan harga BBM,tp memperbaiki kinerja yg di bawah bos bagaimana caranya agar subsidi lebih tepat sasaran...
"
635,"

 @Ruq Qoya  Simasoku aja belum ketangkap mau bagi bansos lagi
"
636,"

 @Aji Setiaji  ,,jgn kasar bang .
"
637,"

Ramadhon
"
638,"

Kendaraan juga butuh makan. Bukan cuma manusia saja
"
639,"

 @Ruq Qoya  kan bisa dikeluarkan kartu bagi rakyat miskin harga BBM nya yg subsidi, seperti tukang ojek, becak, supir angkot dan menengah kebawah lainnya, agr tdk sangat berdampak kpd rakyat kecil,
"
640,"

 @Sudarmadji -  Tanggung Yasa kalau naiknya 10 rb
"
641,"

 @Ismail Ramadhoni  yang penting masih bisa ke beli dan ada barang nya mau apah juga...dari bada kita mau beli g ada barang makin susah ajah.
"
642,"

Iyh bnr terima kasih pak.. Semoga para penguasa zholim dapat hidayah.. Rakyat menjerit
"
643,"

Wes ora opo2. BBM ga naik pun setiap tahun harga2 pada naik. Rokok tiap tahun jg naik. Dah biasa . Semoga sj rejeki meningkat.
"
644,"

 @Sudarmadji -  setuju...dan tdk ad begal lg krn sepi...
"
645,"

 @Nazril Alfarizi  iya maaf ya 
"
646,"

 @Nazril Alfarizi  rasakan nanti kebutuhan pokok akan naik semua, migor naik aja yang lain ikut naik. Apa lagi BBM yang naik. Kita lihat barang apa dulu yang ikut naik duluan 
"
647,"

 @Arif Kentung07  Dari pada dibakar lebih bagus kasih masiku gitulohhhh
"
648,"

 @Agus M  ngerti,tapi akan terjadi inflasi kalau bbm dinaikkan
"
649,"

 @Ismail Ramadhoni  Kekantong masiku belum di jemput tuhhhhh
"
650,"

 @Ruq Qoya  bansos kurang dari seminggu udah abis, tapi kenaikan bbm akan berdampak kenaikan sembako dll dengan waktu yang lama. Otak anda sudah sampe sini belum?
"
651,"

 @Nazril Alfarizi  Paling2 yg pasti dpt duluan yg pandai njilat dululah
"
652,"

 @Afdal Fajri  le itu bukan nya di bakar bila kita beli bensin buat bahan bakar mobil/motor jadi asep g wangi lagi malah bau
"
653,"

Iya masa pake mobilnya Pajero Fortuner GK kuat beli BBM kan GK cocok
"
654,"

 @Ismail Ramadhoni  bansos juga blm 100% tepat cuma lebih tepat kalo dibandingkan mobil beli BBM subsidi
"
655,"

 @Ruq Qoya  ya bego trus lu pikir harga brng eceran, gojek dll gk bkln naik, trus lu kira selama ini masy bawah isi minyak tanah dimotor?
"
656,"

 @Abbang ajjah  masalahnya dari segi anggaran  kak, dulu harga pasar bbm juga ga setinggi sekarang, dana APBN juga terbatas ga bisa cover sini situ
"
657,"

 @Schteger Bigisting  kurang tepat tp kalo dibandingin BBM setidaknya variabelnya lebih detil. Lebi susah ngelarang org2 kaya beli bbm subsidi
"
658,"

Ini juga demi anak cucumu nanti kadrun, biar beralih dari fosil ke energi terbarukan. Biar anak cucumu nanti masih bisa lihat bumi yg indah kadrun
"
659,"

 @Ridho Ramadhan  ya emang ga sebanding. Tp emang konsumsi setinggi itu?
"
660,"

 @Mahfud Mas  yang penting kebeli mas jangan menyalahkan pemerintah ini kan bukan naik tapi pengurangan subsidi.masa kalah sama orang Papua berpuluh-puluh tahun harga Bensin 60.000 s/d  100 .000. / liter tidak banyak komentar.sekarang sama Pak Jokowi harganya sama.
"
661,"

 @Afdal Fajri  nah pembagian bansos hrus lebih hati²
"
662,"

 @Tengku Iqbal  nah ini benar saya setuju, cuma arahnya kan ga kesitu. Jadi bbm naik tetapi masyarakat miskin ojol angkutan dll diberikan sistem voucher
"
663,"

 @Ruq Qoya  wkwkw....loe begok
"
664,"

 @Kopi Susu  anda bikir bansos cuma duit abis seminggu? Itu juga tergantung manajemen mereka. 600rb itu udah bisa nutupin kenaikan2 harga kalo konsumsinya ga tinggi. Kecuali mereka dpt 600rb lgsung buat ini itu yg gaperlu ya abis
"
665,"

 @Tengku Iqbal  anda cerdas mas
"
666,"

 @Ismail Ramadhoni  pasti maju uangnya tidak dipakai subsidi BBM.untuk subsidi BBM itu cukup besar 500 triliun lebih.
"
667,"

 @Aji Setiaji  iyaa, cuma kan negara ga berbisnis, naik juga negara ga untung, cuma alokasi anggaran aja sih itu
"
668,"

 @Missrina  Rina  sip cucok MBK yu
"
669,"

 @R. Soebagyo  harga bbm naik semua naik taraf idup ikutan naik mas semoga. Setidaknya ga ngasih org kaya cuma2
"
670,"

 @end game  wah sipaling pinter nih. Mesti S3 HARVARD INI ORANG
"
671,"

 @Nazril Alfarizi  komen jgan kasar kita orang timur lho..
"
672,"

 @Alwi Yana  Yo jangan menjerit to
"
673,"

 @Ruq Qoya  gua tanya 600 sepadan ga dengan kenaikan harga2 sembako dan bbm? Daripada di kasih bansos mending beli minyak mentah murah dari Rusia. Bbm turun otomatis harg2 juga akan ikut merakyat. Saya tau situ orang kaya, jadi menyepelekan harga2 sembako yang naik, saya juga tau kalo situ beli sembako tinggal tunjuk doang langsung ada dirumah. Negri ini isi nya bukan cuma anda doang. Sampe sini paham?
"
674,"

Besok naikin lagi yah pak Jokowi, lanjtkan 3 atau 4 periode, pak de hebat pendukungnya pak de pasti bangga, karna otomatis harga bahan pokok juga bakal naik, yang pasti tukang tilep di kementrian sosial juga bahagia, lanjutkan pak horeeeee naik horeeee
"
675,"

Bagi sebagian masyarakat akar rumput(grass roots) kenaikan harga khususnya bbm tidaklah terlalu bermasalah yang terpenting yaitu bisa tidaknya memenuhi kebutuhan rumah tangga dari hari ke hari itulah yang perlu diusahakan dan barang kali kenaikan harga bbm malah memberikan solusi walaupun sesaat saja, silahkan berhitung ria para pengusaha dan penguasa di negara ini, rakyat hanya bisa menerima menilai dan memberi contoh yang dimanifestasikan secara formal melalui DPRD DPD MAUPUN DPR serta tangan"" penguasa global
"
676,"

Preet
"
677,"

Harus bagaimna lagi hidup ini ?? 
Saya seorang ibu yg nebeng anak yg jadi supir grab dgn punya 2 anak kecil-kecil ...memikirkannya saja sdh berat aplg yg menjalankannya ...sabar ya Nakku ...Allah akan bantu kita
"
678,"

Bukannya warga kecil yg makin menderita.. BBM naik, ongkos transportasi naik, harga bahan pokok dan kebutuhan naik semua... Apakah pendapatan rakyat otomatis naik? Belum tentu, apalagi kondisi ekonomi masih belum sepenuhnya stabil dan membaik ... Yg perlu dipertanyakan, kenapa proyek yg nggak dibutuhkan rakyat spt kereta cepat dan IKN yg memakan sebegitu besar APBN tetap berjalan, apa manfaatnya buat masyarakat akar rumput..?? Kecuali para pengusaha  yg dapet proyek tsb  yg makin makmur...
"
679,"

makanya kalau peraturan pemerintah tu nurut kek contohnya yaitu ada pemakaian Mypertamina untuk targetnya tepat sasaran.
"
680,"

Pengumumanya dadakan sekali dan berlaku 1 jam setelah di umumkan. Biasanya berlaku mulai jam 00:00 setelah di umumkan. 
Belum sempat isi full tangki kendaraan.
"
681,"

Mungkin Biar tidak ada penimbunan,
"
682,"

Satu lagi nih korban prank
"
683,"

Iya kaya Tahu bulat
"
684,"

Mungkin sudah kebelet
"
685,"

Terima kasih pak Jokowi.. hadiah terindah tahun ini
"
686,"

Terimakasih pak presiden selama bpk jd presiden smua harga2  pada meroket tajam.dan bantuan2 yg bpk berikan masi bnyak rakyat yg tidak mampu tdk dpt menikmatinya.sementara asn dll trus bpk sejahtrahkan.skali x lg saya ucapkan kpd bpk jokowi tlah buat rakyat smakin pura2 bahagia.
"
687,"

Yang lebih adil lagi tidak usah ada BANSOS soalnya tidak tepat sasaran kurang adil dlm pembagian terkadang yg mampu dpt bansos,yg kurang mampu tdk sama sekali
"
688,"

buat BLL Bantuan langsung lempar saja. biar tampak yang ngasih presiden
"
689,"

Setuju
"
690,"

apalagi dana desa.gak ada mampaat sampe 400t uang nya.yg tersalur separo nya aja gak.
"
691,"

Dan PASTI dikorupsi
"
692,"

hidup mengadalkan bansos kapan bisa maju. saya gaji Rp 2.500.000 tdk perna mengharapkan bansos. Klu masih mampu malu mengharapkan bansos.
"
693,"

Di daerah saya juga begitu
"
694,"

Setuju
"
695,"

Hapuskan bansos, hapuskan subsidi
"
696,"

Yang sodaranya RT/RW/LURAH aja yg dapet BLT
"
697,"

bukannya ngatain tapi BLT 150rb sebulan kepake buat apa?
"
698,"

Setuju
"
699,"

Bener presiden gusdur kementrian sosial dihapus.
"
700,"

Malu dgn negara ttgga lebih mnsejahteraken rkyat bkn mnjajah rkyat
"
701,"

Dari zaman presiden ke 6 RI Penyaluran BLT Didaerah saya juga seperti itu,selalu salah sasaran selalu bikin keributan ketidak adilan,knp seperti itu,lah ketua rt/lurahne orang nu malah sin diwareg i keluarga RT/LURAHNE disek piye ngene iki bu risma ... & warga e ada yg gk dari nu gk dapat sama sekali alias 0Rp dg alasan macam""
Yg bukan dari NU itu Padahal janda sudah tua tdk mampu lagi kerja ... kalau wargane dari nu malah di prioritaskan meski secara ekonomi lebih dari mampu,usia masih muda,sepeda motor 2 unit keluaran th terbaru
️️
"
702,"

Betul... yg kurang mampu tp blm vaksin ga bakal di kasih.
"
703,"

 @Slamet Wibowo ws  setuju
"
704,"

 @Slamet Wibowo ws  setuju
"
705,"

 @Ilham Yosef Samsudin  betul.. yg deket sm aparatur desa aja yg dpt
"
706,"

 @Deaky Ariasta  buat beli tas birkin sm jalan"" ke pulau komodo kayaa ibu"" pejabat 
"
707,"

 @Yani Nofianti  padahal kemaren heboh peluncuran mypertamina, supaya subsidi tepat sasaran, sekarangvlain lagi ceritanya, amanahnya gak ada sama sekali
"
708,"

 @Deaky Ariasta   kalo amanah nanti di bilang KADRUN. Soalnya pake bahasa Arab 
"
709,"

Diharap tenang karena masih ada partainya WONG CILIK, tidak perlu lagi ada penolakan apalagi tangisan, bu mega dan puan saja bisa tersenyum
"
710,"

Akhirnya presiden lebih memilih mendukung oligarki,dan nasip rakyat di kesampingkan..tidak usah bicara bansos untuk menutupi naiknya harga bbm,karna sudah jelas bansos yang di keluarkan itu tidak tepat sasaran, terima kasih atas keputusan bapak,semoga pendukung bapak selalu setia mendukung bapak dan harus siap terima nasip
"
711,"

-Hapus subsidi BBM 
-Turunkan tunjangan DPR
-Alihkan ke modernisasi dan perbaikan transportasi umum agar manusia manusia cantik dan tampan beralih ke transportasi umum 
"
712,"

Mudah2han UMK th depan bisa naik juga.
"
713,"

Kalau bbm naik otomatis harga² lainnya juga ikut naik karena perlu transportasi. Proyek² pembangunan infrastruktur yang gak urgen distop/ditunda biaya/anggaran dialihkan jangan karena pencitraan. Berantas korupsi semaksimal mungkin tangkap koruptor gak pandang bulu, sejahterakan rakyat terlebih dahulu. Tk.
"
714,"

Semoga Rejeki kita semua  lancar selalu. Amin...
"
715,"

Semoga subsidi BBM dan Pengalihannnya untuk masyarakat bermanfaat untuk yg paling membutuhkan.. penyaluran subsidi harus tepat sasaran, tepat waktu, dan tepat caranya...
Kita yg mengalami dampak langsung saat membeli sebagai pengguna pertalite tetap diberikan kelancaran dan rejeki tiap harinya dan kesehatan.
AMPERA ..
"
716,"

Alhamdulilah,,, semoga kita semua diberi kesehatan, dimudahkan rezeki amin,,,
"
717,"

INDONESIA sebagai negara bebas dan nonblok seharusnya jangan menyerah dan jangan takut dengan ancaman dan tekanan dari negara2 blok tertentu.....hingga INDONESIA bisa bebas memilih...membeli...memasarkan...memakai mata uang negara manapun untuk kebutuhan negara INDONESIA dan kesejahteraan rakyatnya...dan para mafia dan orang2 kaya yang memanfaatkan subsidi untuk rakyat kecil dengan cara menekan penegak hukum sipil...mengawasi dan mengawal aktifitas tugas mereka....karena selama ini pengawasan dan pengawalan serta tekanan untuk tugas mereka masih kurang karena banyaknya pendukung2 dari partai politik...anggota dewan dan para aparat dan pemerintah yang mendukung kecurangan tugas2 yang mereka lakukan
"
718,"

Yg di tekan siapa ?
"
719,"

cape kau ceramah moral sama orang kita. hidup di indonesia itu harus cerdik,lincah,licin,sanggup punya seribu topeng, tebal muka.
"
720,"

Baguslah naik dan lebih bagus lagi kalau naiknya 100% supaya UMR juga ikut naik 100%
"
721,"

Penghematanlah kita ya utk BBM.. pendapatan tidak bertambah, tapi pengeluaran bertambah. Semoga harga barang2 pokok pangan bisa lebih terjangkau. 
"
722,"

Didorong kendaraan nya lbh hemat, cuma beli ale2 atau teh rio
"
723,"

Alhamdulillah para pejabat nya makin kaya2
"
724,"

Asikkk, selamat buat presiden si joko dan para kabinet yg terhormat anda sukses memimpin negri ini menjadi rakyat seperti ini
"
725,"

Pak jokowi... epek kenaikan BBM ini sangat besar...
Harganya tidak masalah... namun epeknya sangat besar.. semua akan naik terutama harga bahan pokok..
"
726,"

harga nya tetap menjadi masalah,krna semua harga barang2 pokok ikut naik
"
727,"

Dengan dalih atas nama rakyat, kami pemerintahan jokowi berhasil menaikan harga, semoga rakyat nya bisa merasakan hasil kerja kami....dan kami pemerintahan jokowi masih bisa beli bbm walaupun harga nya naik...
Rakyat itu tidak perlu bantuan pemerintah, tapi bagaimana rakyat itu mudah mendapat pekerjaan atau dipermudah berusaha.... semoga rakyat bisa bertahan selama 3 bulan ke depan.....semangat bekerja buat pemerintah mudahan bisa menambah beban rakyat ....semangat...
"
728,"

Mantap
"
729,"

Jadilah asn jk minta pemerintah kerja...aku kerja bangunan tdk melalui pemerintah..aku tani jg gk diberi pemerintah
"
730,"

Bahagia itu tersenyum & bershukur 
"
731,"

Sebetulnya rakyat miskin itu tidak terlalu membutuhkan Bantuan Langsung tunai. ketika Harga Minyak stabil, bahan pokok stabil, Maka Rakyat akan merasa tenang, karena harga bahan pokok sesuai dengan Hasil pendapatan dari pekerjaan mereka. 

Bukan alasan yang logis ketika pemerintah mengatakan subsidi BBM dialihkan Untuk rakyat yang kurang mampu.
Justru dengan Mencabut subsidi BBM tersebut berpengaruh  Membuat lonjakan harga bahan pokok menjadi melesat tinggi.

Harga Minyak Pertalite : 10.000/Liter 
Harga Jual sawit petani :1.000/kg 

Harus mendapatkan 10 kg sawit baru bisa mendapatkan 1 liter minyak. 

Maka hendaklah pemerintah lebih bijak lagi dalam menentukan kebijakan.
"
732,"

Terima kasih atas kinerjanya pak de, apapun alasannya anda tetap yang ter... Wakwau.  .
"
733,"

Terimakasih bapak Presiden udah naikan BBM... Dari pada dengar dan orasi demo sanah sinii sklian kepalang naik sekalian.... Dan mogah bisa kami nikmatin tahun depan bpk bisa tambah bngun bendungan dan jalan mantap bpk presiden 🇮🇩🇮🇩🇮🇩
"
734,"

Selamat kpd pak Wi,yg selalu gagah berani mngeluarkn kebijakan2 yg resistensi dg suara rakyat kecil kenaikan BBM dan omnibuslaw
"
735,"

Penjajah ya harus brani dn lebih kejam dr jepang
"
736,"

Selamat ber bahagia para pejabat dengan tunjangan gaya hidup yang sangat luar biasa 
"
